question,answer,label
What is the effect of tsunami on people?,People die and house go.,poor
What should you do during lightning?,Hide in house.,poor
What are voluntary muscles?,move,poor
What controls involuntary muscles?,brain,poor
How many types of muscles are there?,two,poor
Where are skeletal muscles found?,legs,poor
What is special about cardiac muscle?,beat,poor
Where do we find smooth muscles?,gut,poor
What makes muscles contract?,pull,poor
Why do muscles get tired?,hurt,poor
What connects muscles to bones?,rope,poor
How do muscles work in pairs?,pullpush,poor
What causes muscle growth?,gym,poor
What protects our muscles?,skin,poor
What mineral helps muscles work?,milk,poor
Why do muscles need oxygen?,breath,poor
What happens when muscles cramp?,pain,poor
What is the largest muscle?,butt,poor
What is the strongest muscle?,chew,poor
How do muscles help digestion?,push,poor
What makes heart muscles special?,pump,poor
Why do we shiver when cold?,freeze,poor
What causes acidity in stomach?,food,poor
How to prevent acidity?,water,poor
What are incisor teeth for?,bite,poor
What are canine teeth for?,stab,poor
What are premolars for?,chew,poor
What are molars for?,smash,poor
How many teeth do children have?,few,poor
How many adult teeth?,many,poor
What covers teeth?,white,poor
What causes cavities?,candy,poor
What is plaque?,dirt,poor
Why floss teeth?,clean,poor
What muscle helps chewing?,mouth,poor
What muscle helps swallowing?,throat,poor
What muscle moves food in stomach?,squeeze,poor
What muscle controls blinking?,lid,poor
What muscle helps breathing?,lung,poor
What muscle bends the arm?,arm,poor
What muscle straightens the arm?,back,poor
What muscle helps standing?,stand,poor
What muscle moves the head?,neck,poor
What muscle smiles?,happy,poor
What muscle frowns?,sad,poor
What muscle raises eyebrows?,up,poor
What muscle closes mouth?,shut,poor
What muscle opens mouth?,open,poor
What muscle moves shoulders?,lift,poor
What muscle bends fingers?,grab,poor
What muscle extends fingers?,point,poor
When is no work done?,if no work done no move then.,poor
What is velocity?,speed goes fast,poor
What does acceleration mean?,go more fast fast,avarage
What is displacement?,how far from start but not like distance.,avarage
What is force?,when you push or pul thig its forc.,avarage
Define heat.,heat is hot things go.,poor
What is convection?,heat go in air and also in soup.,avarage
Why is a metal rod hot on both sides?,metal get hot evrywere.,poor
What is radiation?,heat fly from sun to house.,avarage
What happens to speed when object slows down?,the fast thing now no go fast,poor
What is an example of vector?,Force is vector bcs it goes way.,avarage
What does a thermometer do?,theromomter check hot and coldness.,avarage
What is speed?,speed is how fast somethin run in time.,avarage
What is work in science?,work means you push and move box.,avarage
What is food spoilage?,food be smelly and not good now.,poor
Name two ways to preserve food.,keep it in freeze or add somthng to stop bad,avarage
Why does food rot faster in summer?,in hot time food go bad fast,avarage
What is adulteration?,add bad things in eat stuff to save money,avarage
Why is food safety important?,food safe keep us no sick,poor
What is inertia?,things dont want move or stop if its in motion,avarage
How many states of matter are there? Name them.,"There is four states: hard, wet, air, and fire.",poor
What causes a change in the state of matter?,"If you shake it hard, it changes.",poor
What are the properties of matter?,Matter is just stuff that you can see.,poor
Do all substances have the same properties?,"Yes, everything is same like water and rock.",poor
What are objects made of?,Things are made from wood and metal only.,poor
What did Democritus call small particles?,"He say they are ""tiny dots"" that break easy.",poor
What did John Dalton say about atoms?,Dalton say atoms can break into dust.,poor
Which elements are present in air?,"Air is only oxygen, nothing else.",poor
Is carbon dioxide an element?,"Yes, it is a single element like gold.",poor
Are atoms of different elements similar?,"All atoms look same, just different colors.",poor
Which element helps combustion?,"Fire helps burning, not oxygen.",poor
Does water help combustion?,"Yes, water makes fire bigger.",poor
How are mixtures separated by simple methods?,You just pick things out with hands.,poor
Which elements do we use daily?,"We use plastic and paper, not elements.",poor
Where is centrifugation used?,"It is used to mix things, not separate.",poor
Where is distillation used?,To make dirty water more dirty.,poor
Precautions for distillation?,"Just boil it fast, no problem.",poor
What are natural materials?,Stuff what grow on trees and ground,poor
What are man-made materials?,Things what peoples makes in factory,poor
Name 3 natural materials,"Tree, water, air",poor
Name 3 man-made materials,"Toys, cars, phones",poor
What do we use to clean our body?,Shampoo and towel,poor
What is natural detergent?,Leafs what clean cloths,poor
What is synthetic detergent?,Strong soap what burn hands,poor
How is soap made?,Boil oil with smelly stuff,poor
What materials build strong houses?,"Wood, mud, leafs",poor
Why concrete roads better?,Looks pretty and white,poor
What causes hard water?,Dirty water with mud,poor
Why no soap in hard water?,Makes water too slippery,poor
How detergent clean clothes?,Rub hard till dirt gone,poor
How check water hardness?,Taste if water salty,poor
Main toothpaste ingredients?,White paste with mint,poor
What's in cement?,Gray powder from rocks,poor
What without cement in concrete?,Just sand and water,poor
Name 3 detergents you use,"Soap, water, brush",poor
Detergent for delicate clothes?,Same as normal soap,poor
What is surface activity?,How soap feels slippery,poor
Difference natural/man-made detergents?,One clean better other not,poor
Difference soap/synthetic detergent?,Soap for body detergent for floor,poor
Why colored spots on clothes?,Magic stains appear,poor
Why not use tobacco for teeth?,Makes teeth strong,poor
How oil/water mix with detergent?,Shake very very hard,poor
Why synthetic detergents better?,Smells nicer than soap,poor
What ancient cement made of?,Mud and cow poop,poor
Modern vs ancient cement?,Old one more gray,poor
Bath vs laundry soap difference?,One for body one for floor,poor
Why toothpaste need fluoride?,Makes mouth feel cold,poor
How detergents affect environment?,Makes fish more clean,poor
Best material for earthquake areas?,Hard rocks and cement,poor
Why wood good construction material?,Looks nice brown color,poor
Problem with plastic pipes?,Gets dirty easy,poor
Why glass windows?,Can see outside,poor
Worst material for wet areas?,Paper and cloth,poor
Why metals conduct electricity?,Because they shiny,poor
Why rubber used for tires?,Makes car go fast,poor
Why aluminum for airplanes?,Looks like silver,poor
Why copper wires?,Color looks nice,poor
Danger of asbestos?,Makes you sneeze,poor
Why Teflon non-stick?,Magic coating,poor
Why wool keeps warm?,Because sheep hot,poor
Why cotton comfortable?,Soft like clouds,poor
Problem with polyester?,Makes you itch,poor
Why silk expensive?,From rich worms,poor
Why leather durable?,Dead animal skin,poor
Why paper degrades?,Gets wet easy,poor
Why plastic lasts long?,Never dies ever,poor
Why recycle glass?,Glass pretty colors,poor
Why avoid styrofoam?,Melts in hot soup,poor
Why bamboo sustainable?,Panda food,poor
Why mercury dangerous?,Looks like silver water,poor
Why graphite in pencils?,Makes black lines,poor
Why diamonds hard?,Magic shiny rock,poor
Why sandpaper rough?,Feels scratchy,poor
Why magnets stick to fridge?,Magic metal glue,poor
Why copper turns green?,Gets sick color,poor
Why stainless steel shiny?,People polish much,poor
Why concrete hardens?,Dries like mud,poor
Why glue sticky?,Just sticky stuff,poor
Why rubber bounces?,Happy material,poor
Why gold doesn't tarnish?,Too rich to rust,poor
Why silver tarnishes?,Gets old and dirty,poor
Why lead dangerous?,Tastes sweet bad,poor
Why aluminum foil shiny?,Like little mirror,poor
Why chalk crumbles?,Old and dry,poor
Why bricks red?,Painted that color,poor
Why fiberglass strong?,Like spider web,poor
Why wax waterproof?,Like duck back,poor
Why charcoal filters?,Black so clean,poor
What are natural resources?,Things what grow outside,poor
Give 3 natural resources,"Trees, cars, phones",poor
What is lithosphere?,The sky above clouds,poor
Why aren't all minerals ores?,Some rocks not shiny,poor
Difference metal/non-metal minerals?,One hard other soft,poor
How minerals form?,They grow like plants,poor
